row,ДПФ "Доверие",ППФ "Доверие",УПФ "Доверие",ДПФ "Съгласие",ППФ "Съгласие",УПФ "Съгласие"
2004-07-01 00:00:00,1.00234,1.00234,1.00234,1.00234,1.00234,1.00234
2004-07-02 00:00:00,1.00284,1.00337,1.00231,1.00029,1.00048,0.99987
2004-07-05 00:00:00,1.00433,1.00589,1.0038,1.00251,1.00311,1.00238
2004-07-06 00:00:00,1.00198,1.00295,1.00121,1.00295,1.00307,1.00293
2004-07-07 00:00:00,1.00428,1.00508,1.00384,1.00285,1.003,1.00268
2004-07-08 00:00:00,1.00231,1.00308,1.00153,1.00423,1.00646,1.00401
2004-07-09 00:00:00,1.00254,1.00348,1.00195,1.00516,1.0076,1.00468
2004-07-12 00:00:00,1.00338,1.00446,1.00291,1.00645,1.00856,1.0057
2004-07-13 00:00:00,1.00323,1.00424,1.00263,1.00665,1.00895,1.00634
2004-07-14 00:00:00,1.00334,1.00435,1.00252,1.00573,1.00881,1.00607
2004-07-15 00:00:00,1.00261,1.00371,1.00165,1.00572,1.00846,1.00609
2004-07-16 00:00:00,1.0029,1.0041,1.00223,1.00656,1.00907,1.00643
2004-07-19 00:00:00,1.00315,1.00415,1.0022,1.00616,1.00907,1.00672
2004-07-20 00:00:00,1.00365,1.00456,1.00233,1.00614,1.00836,1.00639
2004-07-21 00:00:00,1.00379,1.00494,1.00261,1.00765,1.00988,1.00788
2004-07-22 00:00:00,1.00386,1.00513,1.00289,1.00538,1.00777,1.00543
2004-07-23 00:00:00,1.00421,1.00538,1.00308,1.00607,1.00838,1.00607
2004-07-26 00:00:00,1.00657,1.00768,1.00573,1.00653,1.00905,1.00745
2004-07-27 00:00:00,1.00532,1.00665,1.00417,1.00672,1.00893,1.00754
2004-07-28 00:00:00,1.00573,1.00718,1.00483,1.00579,1.00838,1.00679
2004-07-29 00:00:00,1.00463,1.00544,1.00286,1.00486,1.0072,1.00582
2004-07-30 00:00:00,1.00516,1.00625,1.00338,1.00557,1.00807,1.00661
2004-08-02 00:00:00,1.00656,1.00792,1.00531,1.00685,1.0063,1.00782
2004-08-03 00:00:00,1.00658,1.00762,1.00471,1.00843,1.00896,1.009
2004-08-04 00:00:00,1.00629,1.00762,1.00467,1.00828,1.00904,1.00802
2004-08-05 00:00:00,1.00642,1.00799,1.00497,1.00899,1.00957,1.00874
2004-08-06 00:00:00,1.00641,1.00835,1.00521,1.01043,1.01063,1.01009
2004-08-09 00:00:00,1.00746,1.00942,1.00656,1.01122,1.01159,1.01107
2004-08-10 00:00:00,1.00796,1.01024,1.0071,1.01232,1.01253,1.01198
2004-08-11 00:00:00,1.00769,1.01022,1.00679,1.01225,1.01255,1.01209
2004-08-12 00:00:00,1.00783,1.01039,1.00657,1.01206,1.01246,1.01164
2004-08-13 00:00:00,1.00839,1.01085,1.00729,1.01269,1.01305,1.0121
2004-08-16 00:00:00,1.00876,1.01138,1.00769,1.01366,1.01372,1.01329
2004-08-17 00:00:00,1.01042,1.01319,1.00961,1.01451,1.01474,1.01422
2004-08-18 00:00:00,1.01025,1.0127,1.00896,1.01443,1.01433,1.01377
2004-08-19 00:00:00,1.01174,1.01434,1.01096,1.01467,1.01482,1.01412
2004-08-20 00:00:00,1.01242,1.0149,1.01151,1.01472,1.01466,1.01391
2004-08-23 00:00:00,1.01358,1.0162,1.01295,1.01531,1.01526,1.01471
2004-08-24 00:00:00,1.01296,1.01536,1.01194,1.01517,1.01511,1.01462
2004-08-25 00:00:00,1.0136,1.016,1.01268,1.01483,1.01483,1.01405
2004-08-26 00:00:00,1.01399,1.01641,1.01306,1.01529,1.0153,1.01466
2004-08-27 00:00:00,1.015,1.01781,1.01447,1.01637,1.01638,1.01556
2004-08-30 00:00:00,1.01493,1.01763,1.01416,1.0169,1.01652,1.01647
2004-08-31 00:00:00,1.01558,1.01824,1.01457,1.0178,1.01728,1.01706
2004-09-01 00:00:00,1.01557,1.01822,1.01443,1.01823,1.01754,1.01761
2004-09-02 00:00:00,1.01523,1.01811,1.01425,1.01897,1.01818,1.01853
2004-09-03 00:00:00,1.01488,1.01801,1.014,1.01919,1.0183,1.0186
2004-09-07 00:00:00,1.01535,1.01833,1.01456,1.01846,1.01787,1.01779
2004-09-08 00:00:00,1.01627,1.01919,1.01543,1.01819,1.01786,1.01728
2004-09-09 00:00:00,1.01716,1.01992,1.01648,1.01866,1.0184,1.0176
2004-09-10 00:00:00,1.01608,1.01906,1.01493,1.01882,1.01828,1.018
2004-09-13 00:00:00,1.01622,1.01899,1.01525,1.01978,1.01905,1.01906
2004-09-14 00:00:00,1.01651,1.01944,1.01562,1.01999,1.01934,1.01936
2004-09-15 00:00:00,1.01754,1.02055,1.01696,1.02057,1.0198,1.01976
2004-09-16 00:00:00,1.01734,1.02012,1.01631,1.02096,1.01982,1.0201
2004-09-17 00:00:00,1.01817,1.02073,1.01691,1.02073,1.0199,1.01989
2004-09-20 00:00:00,1.01834,1.02079,1.01717,1.02167,1.02068,1.02079
2004-09-21 00:00:00,1.01897,1.02138,1.01763,1.02227,1.02122,1.02141
2004-09-23 00:00:00,1.01841,1.02082,1.01673,1.02255,1.02151,1.02179
2004-09-24 00:00:00,1.01845,1.02139,1.017,1.02369,1.0227,1.02349
2004-09-27 00:00:00,1.01888,1.02145,1.01687,1.02419,1.02283,1.02359
2004-09-28 00:00:00,1.01857,1.02113,1.01654,1.0244,1.02299,1.02394
2004-09-29 00:00:00,1.01956,1.02221,1.01741,1.02455,1.02326,1.02404
2004-09-30 00:00:00,1.01942,1.02191,1.01682,1.02515,1.02374,1.02463
2004-10-01 00:00:00,1.02239,1.02556,1.02095,1.02599,1.02416,1.02483
2004-10-04 00:00:00,1.02191,1.0248,1.01984,1.02581,1.02416,1.02499
2004-10-05 00:00:00,1.02211,1.02498,1.0198,1.02597,1.02418,1.02495
2004-10-06 00:00:00,1.02223,1.02543,1.0208,1.02629,1.02485,1.02545
2004-10-07 00:00:00,1.023,1.02609,1.02162,1.02687,1.02519,1.02599
2004-10-08 00:00:00,1.02352,1.02651,1.02231,1.02739,1.02592,1.02687
2004-10-11 00:00:00,1.02222,1.02527,1.02083,1.0274,1.02565,1.02686
2004-10-12 00:00:00,1.02355,1.02718,1.02254,1.03039,1.02818,1.02983
2004-10-13 00:00:00,1.0242,1.02773,1.02349,1.02956,1.02792,1.02883
2004-10-14 00:00:00,1.02351,1.02738,1.02303,1.02996,1.02791,1.02914
2004-10-15 00:00:00,1.02595,1.02983,1.0262,1.03033,1.02814,1.02951
2004-10-18 00:00:00,1.02804,1.03229,1.02882,1.03124,1.02881,1.03032
2004-10-19 00:00:00,1.02815,1.03181,1.02853,1.0315,1.02898,1.03038
2004-10-20 00:00:00,1.02881,1.03157,1.0297,1.03116,1.02887,1.03028
2004-10-21 00:00:00,1.0329,1.03502,1.03355,1.0321,1.02937,1.03135
2004-10-22 00:00:00,1.03663,1.04067,1.03993,1.03212,1.02944,1.03148
2004-10-25 00:00:00,1.03891,1.0422,1.04331,1.03231,1.02974,1.03183
2004-10-26 00:00:00,1.03739,1.04107,1.04162,1.03341,1.03071,1.0329
2004-10-27 00:00:00,1.03569,1.04013,1.0393,1.0337,1.03098,1.03341
2004-10-28 00:00:00,1.03633,1.04067,1.03992,1.03429,1.03176,1.03386
2004-10-29 00:00:00,1.0387,1.04283,1.04263,1.03332,1.03066,1.03273
2004-11-01 00:00:00,1.04046,1.0444,1.04463,1.03412,1.03124,1.03345
2004-11-02 00:00:00,1.04243,1.0459,1.04702,1.03445,1.03164,1.03388
2004-11-03 00:00:00,1.04326,1.0464,1.04807,1.03419,1.03127,1.03348
2004-11-04 00:00:00,1.04449,1.04733,1.04947,1.03445,1.03145,1.03377
2004-11-05 00:00:00,1.04578,1.04863,1.04992,1.03541,1.03225,1.03476
2004-11-08 00:00:00,1.04641,1.04914,1.0508,1.0361,1.03277,1.03538
2004-11-09 00:00:00,1.04927,1.05188,1.05456,1.03587,1.03261,1.03525
2004-11-10 00:00:00,1.05143,1.05392,1.05722,1.03669,1.03329,1.03607
2004-11-11 00:00:00,1.05604,1.05845,1.06334,1.03713,1.03365,1.03648
2004-11-12 00:00:00,1.06214,1.064,1.07121,1.03802,1.03444,1.03736
2004-11-15 00:00:00,1.06525,1.06572,1.0733,1.03852,1.0349,1.03795
2004-11-16 00:00:00,1.06884,1.06818,1.07704,1.03951,1.03575,1.03906
2004-11-17 00:00:00,1.07183,1.07089,1.08047,1.03989,1.03629,1.0396
2004-11-18 00:00:00,1.0784,1.07923,1.08729,1.04077,1.03703,1.04063
2004-11-19 00:00:00,1.07389,1.07411,1.08286,1.04098,1.03712,1.04064
2004-11-22 00:00:00,1.07846,1.07862,1.08752,1.04164,1.03769,1.04131
2004-11-23 00:00:00,1.08136,1.08148,1.09057,1.04225,1.03819,1.04205
2004-11-24 00:00:00,1.08958,1.08971,1.09919,1.04291,1.03879,1.04276
2004-11-25 00:00:00,1.08121,1.08178,1.09104,1.04294,1.03869,1.04281
2004-11-26 00:00:00,1.08124,1.08175,1.09122,1.04374,1.03941,1.04368
2004-11-29 00:00:00,1.08932,1.08471,1.08492,1.04411,1.0399,1.04411
2004-11-30 00:00:00,1.08977,1.08491,1.08514,1.0443,1.04026,1.04419
2004-12-01 00:00:00,1.09051,1.08532,1.08373,1.04517,1.04113,1.04512
2004-12-02 00:00:00,1.0913,1.08574,1.07642,1.0457,1.04162,1.04572
2004-12-03 00:00:00,1.09278,1.08685,1.07707,1.04614,1.04197,1.04691
2004-12-07 00:00:00,1.09353,1.08808,1.07813,1.0459,1.04186,1.04595
2004-12-08 00:00:00,1.09474,1.08953,1.08247,1.04921,1.04484,1.04976
2004-12-09 00:00:00,1.09561,1.08964,1.08246,1.04983,1.04544,1.05041
2004-12-10 00:00:00,1.09614,1.09016,1.08275,1.05093,1.04644,1.05163
2004-12-11 00:00:00,1.0958,1.09125,1.08381,1.05291,1.04841,1.05385
2004-12-13 00:00:00,1.0954,1.09131,1.08428,1.0529,1.04867,1.05409
2004-12-14 00:00:00,1.0956,1.09191,1.08458,1.05364,1.04914,1.05474
2004-12-15 00:00:00,1.09595,1.09195,1.08473,1.05557,1.0509,1.05714
2004-12-16 00:00:00,1.09609,1.09341,1.08591,1.05795,1.05293,1.05929
2004-12-17 00:00:00,1.09691,1.09433,1.08686,1.05851,1.05325,1.05983
2004-12-20 00:00:00,1.09829,1.09476,1.0874,1.05836,1.05338,1.06032
2004-12-21 00:00:00,1.09803,1.09551,1.08788,1.05917,1.05404,1.06119
2004-12-22 00:00:00,1.09968,1.09436,1.08712,1.05961,1.05439,1.06158
2004-12-23 00:00:00,1.10202,1.09453,1.08738,1.05991,1.05463,1.06187
2004-12-27 00:00:00,1.10163,1.09579,1.08792,1.06022,1.05476,1.06205
2004-12-28 00:00:00,1.10129,1.09674,1.08965,1.06049,1.05485,1.06212
2004-12-29 00:00:00,1.10209,1.09731,1.09037,1.06046,1.0549,1.06278
2004-12-30 00:00:00,1.10102,1.09496,1.08806,1.06015,1.05507,1.0631
2004-12-31 00:00:00,1.10052,1.09468,1.08789,1.05999,1.05552,1.06331
2005-01-03 00:00:00,1.10127,1.09606,1.08883,1.06688,1.06004,1.0667
2005-01-04 00:00:00,1.10661,1.10136,1.0932,1.06839,1.06079,1.06773
2005-01-05 00:00:00,1.10999,1.10306,1.09327,1.06934,1.06166,1.06879
2005-01-06 00:00:00,1.11197,1.10593,1.09602,1.0692,1.06181,1.06982
2005-01-07 00:00:00,1.11335,1.106,1.09617,1.06984,1.06237,1.06988
2005-01-10 00:00:00,1.11854,1.10802,1.09657,1.071,1.0633,1.07117
2005-01-11 00:00:00,1.12012,1.10993,1.10598,1.07212,1.0645,1.07234
2005-01-12 00:00:00,1.12288,1.11428,1.10354,1.07297,1.06528,1.07403
2005-01-13 00:00:00,1.12362,1.11583,1.10473,1.07366,1.06591,1.07469
2005-01-14 00:00:00,1.12452,1.11666,1.10509,1.07504,1.06722,1.0765
2005-01-17 00:00:00,1.12469,1.11691,1.10524,1.07517,1.06737,1.07665
2005-01-18 00:00:00,1.12355,1.11966,1.10718,1.07638,1.06836,1.07806
2005-01-19 00:00:00,1.12402,1.12018,1.10751,1.07649,1.06831,1.07769
2005-01-20 00:00:00,1.12724,1.12409,1.11053,1.07741,1.06925,1.07919
2005-01-21 00:00:00,1.12761,1.12402,1.11067,1.07701,1.06903,1.07871
2005-01-24 00:00:00,1.12821,1.12389,1.11229,1.07759,1.07013,1.07967
2005-01-25 00:00:00,1.12845,1.12594,1.11308,1.07856,1.07004,1.08027
2005-01-26 00:00:00,1.12834,1.12665,1.11078,1.07827,1.0702,1.07977
2005-01-27 00:00:00,1.12703,1.12558,1.11182,1.07795,1.06973,1.07942
2005-01-28 00:00:00,1.12833,1.12707,1.11255,1.0778,1.06972,1.07931
2005-01-31 00:00:00,1.12875,1.12719,1.09423,1.07931,1.07134,1.08091
2005-02-01 00:00:00,1.13056,1.129,1.11262,1.07926,1.07132,1.08062
2005-02-02 00:00:00,1.1289,1.12757,1.11372,1.08012,1.07206,1.08158
2005-02-03 00:00:00,1.12983,1.12778,1.11377,1.08006,1.07211,1.08134
2005-02-04 00:00:00,1.12927,1.12665,1.11241,1.08063,1.07278,1.08218
2005-02-07 00:00:00,1.12704,1.12513,1.11108,1.08118,1.07304,1.08266
2005-02-08 00:00:00,1.12751,1.12515,1.11114,1.08207,1.07372,1.08324
2005-02-09 00:00:00,1.13029,1.12708,1.11295,1.0827,1.07396,1.08344
2005-02-10 00:00:00,1.13153,1.12914,1.11355,1.08149,1.07404,1.08235
2005-02-11 00:00:00,1.13496,1.13166,1.11528,1.0833,1.07494,1.08496
2005-02-14 00:00:00,1.13779,1.13265,1.11586,1.08362,1.07531,1.08528
2005-02-15 00:00:00,1.14089,1.13482,1.11719,1.08328,1.07509,1.08467
2005-02-16 00:00:00,1.14529,1.138,1.1189,1.0844,1.07623,1.08595
2005-02-17 00:00:00,1.15125,1.14021,1.11986,1.08426,1.07589,1.08622
2005-02-18 00:00:00,1.14911,1.13876,1.1194,1.08397,1.07588,1.08564
2005-02-21 00:00:00,1.15076,1.14026,1.11943,1.08322,1.07517,1.08446
2005-02-22 00:00:00,1.14941,1.13818,1.11882,1.083,1.07529,1.08477
2005-02-23 00:00:00,1.14999,1.13918,1.11943,1.08329,1.07524,1.08485
2005-02-24 00:00:00,1.1532,1.14205,1.12053,1.08359,1.07554,1.08521
2005-02-25 00:00:00,1.1627,1.14568,1.12104,1.08367,1.07569,1.0852
2005-02-28 00:00:00,1.16087,1.14603,1.12249,1.08428,1.07722,1.08589
2005-03-01 00:00:00,1.15859,1.1484,1.12377,1.08378,1.07612,1.08552
2005-03-02 00:00:00,1.15653,1.14797,1.1215,1.08432,1.07639,1.08607
2005-03-07 00:00:00,1.16203,1.1503,1.12005,1.08416,1.07641,1.0858
2005-03-08 00:00:00,1.16002,1.14823,1.11847,1.08561,1.07806,1.0872
2005-03-09 00:00:00,1.16209,1.15127,1.12013,1.08662,1.07875,1.08858
2005-03-10 00:00:00,1.16199,1.1514,1.12235,1.08603,1.0783,1.08787
2005-03-11 00:00:00,1.16094,1.15204,1.12302,1.08615,1.07806,1.08789
2005-03-12 00:00:00,1.16124,1.1521,1.12345,1.08654,1.07859,1.0883
2005-03-14 00:00:00,1.15951,1.15209,1.1243,1.08649,1.07874,1.08857
2005-03-15 00:00:00,1.16028,1.15096,1.12347,1.0862,1.07853,1.0884
2005-03-16 00:00:00,1.15987,1.15204,1.12335,1.08663,1.07874,1.08894
2005-03-17 00:00:00,1.15805,1.15208,1.12365,1.08694,1.07923,1.08945
2005-03-18 00:00:00,1.15977,1.15342,1.12391,1.08763,1.07969,1.08952
2005-03-21 00:00:00,1.15792,1.15266,1.1236,1.08712,1.07903,1.08915
2005-03-22 00:00:00,1.15871,1.15121,1.12222,1.08739,1.07891,1.0892
2005-03-23 00:00:00,1.15468,1.14969,1.12251,1.08745,1.07835,1.08927
2005-03-24 00:00:00,1.15504,1.14939,1.1221,1.0869,1.07857,1.08885
2005-03-25 00:00:00,1.16104,1.15069,1.12235,1.08723,1.07871,1.08908
2005-03-28 00:00:00,1.16057,1.15154,1.12299,1.08745,1.07927,1.08974
2005-03-29 00:00:00,1.1602,1.1522,1.12293,1.08778,1.07981,1.08989
2005-03-30 00:00:00,1.15909,1.15165,1.12295,1.08776,1.07968,1.08989
2005-03-31 00:00:00,1.16233,1.1535,1.12491,1.08878,1.08003,1.09061
2005-04-01 00:00:00,1.15868,1.15215,1.12287,1.08913,1.08036,1.09113
2005-04-04 00:00:00,1.15878,1.15192,1.12332,1.0897,1.08083,1.09159
2005-04-05 00:00:00,1.15902,1.15271,1.12417,1.09017,1.08126,1.09223
2005-04-06 00:00:00,1.15732,1.15343,1.12412,1.09016,1.0815,1.09218
2005-04-07 00:00:00,1.15751,1.15306,1.12415,1.09005,1.08171,1.09216
2005-04-08 00:00:00,1.1561,1.1528,1.12396,1.09074,1.08235,1.09288
